iter	Passed	Remaining
256	746	2159
257	749	2154
258	751	2150
259	753	2144
260	754	2137
261	757	2133
262	759	2127
263	761	2121
264	763	2117
265	764	2109
266	766	2104
267	768	2098
268	770	2093
269	772	2087
270	774	2082
271	775	2076
272	778	2071
273	780	2067
274	782	2063
275	783	2056
276	785	2050
277	787	2044
278	790	2043
279	793	2039
280	794	2032
281	796	2028
282	798	2023
283	800	2017
284	801	2011
285	803	2005
286	804	1997
287	806	1993
288	808	1988
289	809	1982
290	811	1976
291	812	1970
292	819	1976
293	820	1971
294	822	1965
295	824	1961
296	827	1957
297	828	1952
298	830	1946
299	831	1940
300	833	1936
301	835	1931
302	836	1925
303	838	1920
304	840	1916
305	842	1911
306	844	1906
307	846	1902
308	848	1896
309	850	1892
310	851	1887
311	853	1882
312	855	1877
313	857	1873
314	859	1868
315	860	1863
316	862	1858
317	864	1853
318	866	1848
319	868	1845
320	869	1840
321	872	1836
322	874	1832
323	875	1827
324	878	1824
325	880	1820
326	882	1815
327	884	1812
328	886	1807
329	888	1803
330	889	1798
331	891	1794
332	893	1790
333	906	1807
334	908	1803
335	910	1800
336	912	1795
337	913	1789
338	914	1783
339	934	1814
340	936	1809
341	937	1803
342	938	1797
343	950	1811
344	955	1813
345	965	1824
346	966	1819
347	968	1814
348	971	1812
349	978	1817
350	980	1813
351	982	1809
352	984	1804
353	990	1807
354	991	1802
355	993	1796
356	995	1792
357	997	1788
358	998	1783
359	1000	1778
360	1002	1773
361	1004	1770
362	1006	1766
363	1008	1761
364	1009	1756
365	1011	1751
366	1012	1746
367	1014	1743
368	1017	1739
369	1019	1735
370	1021	1732
371	1023	1728
372	1025	1723
373	1026	1718
374	1028	1714
375	1029	1708
376	1031	1704
377	1032	1699
378	1034	1695
379	1036	1691
380	1038	1688
381	1040	1683
382	1042	1679
383	1044	1675
384	1046	1671
385	1048	1667
386	1050	1664
387	1052	1660
388	1053	1655
389	1055	1650
390	1056	1646
391	1059	1642
392	1061	1639
393	1062	1634
394	1064	1629
395	1070	1632
396	1072	1628
397	1073	1623
398	1075	1619
399	1077	1616
400	1079	1612
401	1082	1609
402	1083	1605
403	1096	1617
404	1098	1613
405	1100	1609
406	1102	1606
407	1104	1601
408	1105	1597
409	1107	1593
410	1109	1589
411	1111	1586
412	1113	1582
413	1114	1577
414	1116	1574
415	1118	1569
416	1120	1566
417	1122	1563
418	1140	1581
419	1146	1583
420	1147	1578
421	1154	1581
422	1155	1576
423	1157	1572
424	1159	1568
425	1171	1578
426	1172	1573
427	1174	1569
428	1175	1564
429	1195	1584
430	1197	1580
431	1203	1582
432	1205	1578
433	1213	1582
434	1216	1579
435	1217	1575
436	1223	1576
437	1225	1572
438	1227	1567
439	1228	1563
440	1230	1559
441	1232	1555
442	1233	1550
443	1235	1547
444	1237	1543
445	1239	1539
446	1240	1534
447	1242	1530
448	1244	1527
449	1245	1522
450	1248	1519
451	1252	1518
452	1256	1517
453	1260	1515
454	1262	1512
455	1266	1511
456	1268	1507
457	1271	1504
458	1273	1500
459	1275	1496
460	1276	1492
461	1278	1489
462	1280	1485
463	1283	1482
464	1284	1478
465	1286	1474
466	1288	1470
467	1290	1466
468	1292	1463
469	1294	1459
470	1296	1456
471	1298	1452
472	1300	1448
473	1302	1445
474	1304	1441
475	1306	1437
476	1308	1434
477	1310	1430
478	1312	1427
479	1314	1423
480	1316	1420
481	1318	1416
482	1320	1413
483	1322	1409
484	1323	1405
485	1325	1402
486	1327	1398
487	1329	1395
488	1331	1391
489	1332	1387
490	1334	1383
491	1337	1380
492	1339	1377
493	1341	1374
494	1344	1371
495	1346	1368
496	1348	1365
497	1351	1362
498	1353	1358
499	1354	1354
500	1355	1350
501	1357	1346
502	1360	1343
503	1362	1340
504	1364	1337
505	1366	1333
506	1368	1330
507	1369	1326
508	1374	1325
509	1375	1321
510	1377	1318
511	1379	1315
512	1381	1311
513	1383	1308
514	1385	1304
515	1387	1301
516	1388	1297
517	1390	1294
518	1392	1290
519	1394	1287
520	1397	1284
521	1402	1283
522	1407	1283
523	1411	1281
524	1415	1280
525	1419	1279
526	1423	1278
527	1428	1277
528	1433	1276
529	1438	1275
530	1443	1274
531	1448	1273
532	1452	1273
533	1457	1272
534	1462	1271
535	1467	1270
536	1471	1268
537	1476	1267
538	1481	1266
539	1485	1265
540	1490	1264
541	1495	1263
542	1500	1262
543	1504	1261
544	1513	1263
545	1517	1261
546	1519	1258
547	1524	1257
548	1529	1256
549	1532	1253
550	1536	1252
551	1541	1250
552	1545	1249
553	1550	1248
554	1555	1246
555	1560	1245
556	1564	1244
557	1569	1243
558	1574	1241
559	1578	1240
560	1583	1239
561	1587	1237
562	1593	1237
563	1598	1235
564	1601	1233
565	1606	1231
566	1610	1230
567	1616	1229
568	1621	1228
569	1640	1237
570	1643	1234
571	1646	1231
572	1650	1229
573	1654	1228
574	1661	1227
575	1665	1226
576	1670	1224
577	1672	1220
578	1674	1217
579	1676	1213
580	1677	1210
581	1680	1206
582	1682	1203
583	1684	1199
584	1688	1197
585	1692	1195
586	1697	1194
587	1702	1192
588	1706	1190
589	1709	1187
590	1714	1186
591	1718	1184
592	1723	1182
593	1728	1181
594	1733	1179
595	1737	1177
596	1742	1176
597	1747	1174
598	1751	1172
599	1756	1170
600	1760	1169
601	1765	1167
602	1770	1165
603	1775	1164
604	1780	1162
605	1784	1160
606	1789	1158
607	1794	1156
608	1799	1155
609	1802	1152
610	1807	1150
611	1813	1150
612	1817	1147
613	1821	1145
614	1825	1143
615	1829	1140
616	1836	1139
617	1840	1137
618	1845	1135
619	1850	1133
620	1860	1135
621	1862	1131
622	1867	1129
623	1871	1127
624	1876	1125
625	1878	1122
626	1880	1118
627	1882	1115
628	1884	1111
629	1885	1107
630	1888	1104
631	1896	1104
632	1898	1100
633	1900	1096
634	1901	1092
635	1903	1089
636	1905	1085
637	1907	1082
638	1908	1078
639	1910	1074
640	1912	1071
641	1914	1067
642	1915	1063
643	1917	1059
644	1918	1056
645	1920	1052
646	1922	1048
647	1924	1045
648	1926	1041
649	1928	1038
650	1931	1035
651	1932	1031
652	1934	1028
653	1936	1024
654	1938	1021
655	1940	1017
656	1942	1014
657	1949	1013
658	1954	1011
659	1958	1009
660	1966	1008
661	1970	1006
662	1975	1004
663	1980	1002
664	1984	999
665	1989	997
666	1993	995
667	1996	992
668	2007	993
669	2011	990
670	2013	987
671	2014	983
672	2016	979
673	2019	976
674	2020	973
675	2022	969
676	2023	965
677	2025	961
678	2035	962
679	2037	958
680	2038	955
681	2043	952
682	2045	949
683	2047	945
684	2049	942
685	2050	938
686	2052	935
687	2054	931
688	2056	928
689	2057	924
690	2059	920
691	2061	917
692	2063	914
693	2065	910
694	2066	906
695	2068	903
696	2081	904
697	2085	902
698	2087	898
699	2122	909
700	2125	906
701	2133	905
702	2150	908
703	2153	905
704	2155	901
705	2158	898
706	2160	895
707	2163	892
708	2167	889
709	2170	886
710	2173	883
711	2185	883
712	2187	880
713	2191	877
714	2195	875
715	2227	883
716	2234	881
717	2236	878
718	2237	874
719	2245	873
720	2247	869
721	2248	865
722	2250	862
723	2278	868
724	2284	866
725	2288	863
726	2290	859
727	2291	856
728	2293	852
729	2295	849
730	2299	846
731	2308	845
732	2310	841
733	2311	837
734	2314	834
735	2316	830
736	2324	829
737	2327	826
738	2332	823
739	2336	821
740	2341	818
741	2345	815
742	2351	813
743	2354	810
744	2359	807
745	2363	804
746	2368	802
747	2373	799
748	2376	796
749	2381	793
750	2388	791
751	2400	791
752	2404	788
753	2408	785
754	2413	783
755	2418	780
756	2423	778
757	2426	774
758	2428	771
759	2430	767
760	2431	763
761	2433	760
762	2435	756
763	2453	758
764	2456	754
765	2458	751
766	2466	749
767	2467	745
768	2470	741
769	2475	739
770	2478	736
771	2482	733
772	2490	731
773	2492	727
774	2505	727
775	2507	723
776	2513	721
777	2523	720
778	2531	718
779	2546	718
780	2553	716
781	2559	713
782	2570	712
783	2572	708
784	2580	706
785	2588	704
786	2595	702
787	2599	699
788	2606	696
789	2611	694
790	2619	692
791	2626	689
792	2631	687
793	2633	683
794	2635	679
795	2643	677
796	2647	674
797	2656	672
798	2664	670
799	2670	667
800	2675	664
801	2680	661
802	2688	659
803	2695	657
804	2705	655
805	2713	653
806	2716	649
807	2720	646
808	2735	645
809	2738	642
810	2750	641
811	2752	637
812	2757	634
813	2764	631
814	2767	628
815	2769	624
816	2774	621
817	2786	620
818	2789	616
819	2793	613
820	2798	610
821	2805	607
822	2813	605
823	2819	602
824	2823	598
825	2835	597
826	2838	593
827	2842	590
828	2847	587
829	2856	584
830	2864	582
831	2869	579
832	2873	576
833	2884	574
834	2889	570
835	2894	567
836	2898	564
837	2902	561
838	2908	558
839	2914	555
840	2919	551
841	2922	548
842	2929	545
843	2933	542
844	2936	538
845	2937	534
846	2939	531
847	2941	527
848	2958	526
849	2960	522
850	2967	519
851	2972	516
852	2980	513
853	2981	509
854	2983	505
855	2984	502
856	2989	498
857	2995	495
858	2996	491
859	2998	488
860	3006	485
861	3008	481
862	3009	477
863	3022	475
864	3027	472
865	3032	469
866	3037	465
867	3041	462
868	3046	459
869	3047	455
870	3049	451
871	3050	447
872	3053	444
873	3054	440
874	3056	436
875	3058	433
876	3061	429
877	3062	425
878	3064	421
879	3068	418
880	3071	414
881	3085	412
882	3087	409
883	3096	406
884	3102	403
885	3110	400
886	3117	397
887	3119	393
888	3121	389
889	3123	385
890	3125	382
891	3127	378
892	3132	375
893	3133	371
894	3136	367
895	3137	364
896	3139	360
897	3141	356
898	3143	353
899	3145	349
900	3147	345
901	3148	342
902	3150	338
903	3152	334
904	3154	331
905	3155	327
906	3157	323
907	3166	320
908	3168	317
909	3169	313
910	3172	309
911	3173	306
912	3175	302
913	3177	298
914	3179	295
915	3181	291
916	3184	288
917	3185	284
918	3192	281
919	3194	277
920	3196	274
921	3203	271
922	3204	267
923	3206	263
924	3210	260
925	3215	256
926	3222	253
927	3229	250
928	3230	246
929	3232	243
930	3238	239
931	3239	236
932	3241	232
933	3246	229
934	3249	225
935	3251	222
936	3252	218
937	3254	215
938	3267	212
939	3275	209
940	3278	205
941	3288	202
942	3296	199
943	3303	195
944	3306	192
945	3311	189
946	3315	185
947	3323	182
948	3327	178
949	3332	175
950	3338	172
951	3339	168
952	3350	165
953	3352	161
954	3355	158
955	3360	154
956	3366	151
957	3368	147
958	3369	144
959	3392	141
960	3397	137
961	3419	135
962	3426	131
963	3434	128
964	3439	124
965	3442	121
966	3444	117
967	3446	113
968	3452	110
969	3454	106
970	3472	103
971	3475	100
972	3483	96
973	3489	93
974	3491	89
975	3498	86
976	3501	82
977	3509	78
978	3512	75
979	3517	71
980	3520	68
981	3523	64
982	3527	61
983	3529	57
984	3532	53
985	3537	50
986	3542	46
987	3544	43
988	3547	39
989	3552	35
990	3553	32
991	3559	28
992	3561	25
993	3562	21
994	3565	17
995	3568	14
996	3570	10
997	3577	7
998	3579	3
999	3581	0
