iter	Logloss
0	0.6916143549
1	0.6898936636
2	0.6878263364
3	0.6863781162
4	0.6846073911
5	0.6834736604
6	0.6815208411
7	0.6796828821
8	0.6783505765
9	0.6770112524
10	0.6754731075
11	0.674232423
12	0.6723110824
13	0.6709232018
14	0.6697055463
15	0.6682001071
16	0.666772571
17	0.6653254754
18	0.6642561339
19	0.6628939469
20	0.6618908036
21	0.6606579949
22	0.6594754468
23	0.6581451708
24	0.6566784208
25	0.655626107
26	0.6545027
27	0.6534786511
28	0.6518639061
29	0.6508511499
30	0.6503043553
31	0.6494738191
32	0.6488342339
33	0.6473073273
34	0.6457207689
35	0.6447054775
36	0.6441017907
37	0.6431941168
38	0.6421601372
39	0.6411822221
40	0.6402127551
41	0.6391422577
42	0.6383511215
43	0.6372285712
44	0.6363102115
45	0.6356364302
46	0.6345437058
47	0.6336485656
48	0.6328130271
49	0.6317371371
50	0.6305933097
51	0.6296222073
52	0.6289348604
53	0.6280686724
54	0.6272790787
55	0.6267734194
56	0.6257700714
57	0.624696476
58	0.6238515849
59	0.6228530498
60	0.6222388006
61	0.6214367551
62	0.6207341529
63	0.6200659221
64	0.6192813203
65	0.618815424
66	0.6177998763
67	0.6166253151
68	0.6160194284
69	0.6152738906
70	0.614817465
71	0.6140438256
72	0.6131833729
73	0.6124246906
74	0.6118898205
75	0.6113058584
76	0.6103993394
77	0.6097323253
78	0.6093399676
79	0.6089088466
80	0.6082844221
81	0.6077434249
82	0.6070536958
83	0.6065544003
84	0.6060046137
85	0.6053653968
86	0.6051438134
87	0.6046879531
88	0.6039982791
89	0.6035308004
90	0.603163898
91	0.6026597545
92	0.6018356694
93	0.6011132531
94	0.6006462131
95	0.5999099023
96	0.5992096843
97	0.5987685256
98	0.5985887695
99	0.5978432743
100	0.5975267998
101	0.596755182
102	0.5966540924
103	0.5958625957
104	0.5950991195
105	0.5945449353
106	0.5942787489
107	0.5941964869
108	0.5938404386
109	0.5933949874
110	0.592765663
111	0.5922387216
112	0.5919104162
113	0.5914751539
114	0.5910711405
115	0.5905290829
116	0.5900382951
117	0.5895163543
118	0.5892167092
119	0.588913309
120	0.5885398612
121	0.5882684951
122	0.5879023948
123	0.5876889516
124	0.587094664
125	0.5868706294
126	0.5864980222
127	0.5861545446
128	0.5857879718
129	0.5855047538
130	0.5849144094
131	0.5845039462
132	0.584320228
133	0.5838452417
134	0.5833527589
135	0.5830997061
136	0.5827774467
137	0.5824727697
138	0.5819623184
139	0.5816439276
140	0.5813378523
141	0.5810340051
142	0.5806799581
143	0.5800804322
144	0.5796849764
145	0.5794760515
146	0.579226427
147	0.5789050374
148	0.5784162029
149	0.5781273929
150	0.5777908039
151	0.5774202429
152	0.5771377121
153	0.5768591812
154	0.5765117869
155	0.5761263721
156	0.5757878465
157	0.5757472603
158	0.5751340738
159	0.57446514
160	0.5741470561
161	0.5738253306
162	0.5735585631
163	0.5731923532
164	0.5727643344
